INFO  - 2024-01-29 17:58:15.042; com.flipkart.pageObjects.FlipkartAddCartPage; Unique Link :https://www.flipkartwholesale.com/
INFO  - 2024-01-29 17:58:21.003; com.flipkart.pageObjects.FlipkartAddCartPage; Unique Link :https://www.flipkart.com/all/~cs-6f5af2c6fd4068ce713d184f1481cd2b/pr?sid=osp,cil,1cu&marketplace=FLIPKART&restrictLocale=true
INFO  - 2024-01-29 17:58:52.079; com.flipkart.pageObjects.FlipkartAddCartPage; Unique Link :https://www.flipkart.com/5g-mobile-phones-store?otracker=undefined_footer
INFO  - 2024-01-29 17:59:08.450; com.flipkart.pageObjects.FlipkartAddCartPage; Unique Link :https://www.flipkart.com/laptops/asus~brand/pr?sid=6bo,b5g&otracker=undefined_footer
INFO  - 2024-01-29 17:59:18.067; com.flipkart.pageObjects.FlipkartAddCartPage; Unique Link :https://www.flipkart.com/grocery/household-care/floor-other-cleaners/toilet-cleaners/pr?sid=73z,cwl,u3c,ijq&marketplace=GROCERY&otracker=undefined_footer
INFO  - 2024-01-29 21:37:31.782; com.flipkart.utilities.DriverInit; Driver invoked :Chrome
INFO  - 2024-01-29 21:37:31.800; com.flipkart.testCases.BaseTest; Browser Name :Chrome
INFO  - 2024-01-29 21:38:46.055; com.flipkart.pageObjects.FlipkartAddCartPage; Get Title : Online Shopping Site for Mobiles, Electronics, Furniture, Grocery, Lifestyle, Books & More. Best Offers!
INFO  - 2024-01-29 21:39:05.064; com.flipkart.pageObjects.FlipkartAddCartPage; Count of links 0
INFO  - 2024-01-29 21:39:05.065; com.flipkart.pageObjects.FlipkartAddCartPage; Count of Unique links:0
INFO  - 2024-01-29 21:39:05.074; com.flipkart.testCases.FlipkartAddCarTest; scrollToItemTest Running..
INFO  - 2024-01-29 21:39:05.076; com.flipkart.pageObjects.FlipkartAddCartPage; findProductByScrollingDown
INFO  - 2024-01-29 21:40:54.750; com.flipkart.utilities.DriverInit; Driver invoked :Chrome
INFO  - 2024-01-29 21:40:54.772; com.flipkart.testCases.BaseTest; Browser Name :Chrome
INFO  - 2024-01-29 21:42:24.793; com.flipkart.pageObjects.FlipkartAddCartPage; Get Title : Online Shopping Site for Mobiles, Electronics, Furniture, Grocery, Lifestyle, Books & More. Best Offers!
INFO  - 2024-01-29 21:42:27.314; com.flipkart.pageObjects.FlipkartAddCartPage; Count of links 360
INFO  - 2024-01-29 21:42:38.134; com.flipkart.pageObjects.FlipkartAddCartPage; Count of Unique links:349
INFO  - 2024-01-29 21:42:38.163; com.flipkart.pageObjects.FlipkartAddCartPage; Unique Link :https://www.flipkart.com/the-gift-card-store?link=home_giftcard
INFO  - 2024-01-29 21:42:39.564; com.flipkart.pageObjects.FlipkartAddCartPage; Unique Link :https://www.flipkart.com/wet-grinders/pr?sid=j9e,m38,htd&otracker=undefined_footer
INFO  - 2024-01-29 21:42:42.290; com.flipkart.pageObjects.FlipkartAddCartPage; Unique Link :https://www.flipkart.com/q/bata-shoes?otracker=undefined_footer
INFO  - 2024-01-29 21:42:43.984; com.flipkart.pageObjects.FlipkartAddCartPage; Unique Link :https://www.flipkart.com/furniture/mattresses/pr?sid=wwe,rg9&otracker=undefined_footer
INFO  - 2024-01-29 21:42:44.131; com.flipkart.pageObjects.FlipkartAddCartPage; Unique Link :https://www.flipkart.com/furniture/beds/pr?sid=wwe,7p7&otracker=undefined_footer
INFO  - 2024-01-29 21:42:44.315; com.flipkart.pageObjects.FlipkartAddCartPage; Unique Link :https://www.flipkart.com/account/rewards?link=home_rewards
INFO  - 2024-01-29 21:42:48.791; com.flipkart.pageObjects.FlipkartAddCartPage; Unique Link :https://www.flipkart.com/furniture/dining-tables-sets/pr?sid=wwe,ur9&otracker=undefined_footer
INFO  - 2024-01-29 21:43:03.430; com.flipkart.pageObjects.FlipkartAddCartPage; Unique Link :https://www.flipkart.com/samsung-galaxy-s24-5g-cobalt-violet-512-gb/p/itmdbe5ac49590db?otracker=undefined_footer
INFO  - 2024-01-29 21:43:43.364; com.flipkart.pageObjects.FlipkartAddCartPage; Unique Link :https://www.flipkart.com/4g-mobile-phones-store?otracker=undefined_footer
INFO  - 2024-01-29 21:43:56.741; com.flipkart.pageObjects.FlipkartAddCartPage; Unique Link :https://www.flipkart.com/q/iqoo-5g-phones?otracker=undefined_footer
INFO  - 2024-01-29 21:44:16.172; com.flipkart.pageObjects.FlipkartAddCartPage; Unique Link :https://www.flipkart.com/#
INFO  - 2024-01-30 16:05:04.831; com.flipkart.utilities.DriverInit; Driver invoked :Chrome
INFO  - 2024-01-30 16:05:04.843; com.flipkart.testCases.BaseTest; Browser Name :Chrome
INFO  - 2024-01-30 16:05:48.508; com.flipkart.pageObjects.FlipkartAddCartPage; Get Title : Online Shopping Site for Mobiles, Electronics, Furniture, Grocery, Lifestyle, Books & More. Best Offers!
INFO  - 2024-01-30 16:05:49.066; com.flipkart.pageObjects.FlipkartAddCartPage; Count of links 357
INFO  - 2024-01-30 16:05:54.515; com.flipkart.pageObjects.FlipkartAddCartPage; Count of Unique links:344
INFO  - 2024-01-30 16:05:54.517; com.flipkart.pageObjects.FlipkartAddCartPage; Unique Link :https://www.flipkart.com/the-gift-card-store?link=home_giftcard
INFO  - 2024-01-30 16:05:56.648; com.flipkart.pageObjects.FlipkartAddCartPage; Unique Link :https://www.flipkart.com/wet-grinders/pr?sid=j9e,m38,htd&otracker=undefined_footer
INFO  - 2024-01-30 16:05:56.979; com.flipkart.pageObjects.FlipkartAddCartPage; Unique Link :https://www.flipkart.com/q/bata-shoes?otracker=undefined_footer
INFO  - 2024-01-30 16:05:57.425; com.flipkart.pageObjects.FlipkartAddCartPage; Unique Link :https://www.flipkart.com/furniture/mattresses/pr?sid=wwe,rg9&otracker=undefined_footer
INFO  - 2024-01-30 16:05:59.656; com.flipkart.pageObjects.FlipkartAddCartPage; Unique Link :https://www.flipkart.com/furniture/beds/pr?sid=wwe,7p7&otracker=undefined_footer
INFO  - 2024-01-30 16:06:01.581; com.flipkart.pageObjects.FlipkartAddCartPage; Unique Link :https://www.flipkart.com/account/rewards?link=home_rewards
INFO  - 2024-01-30 16:06:10.216; com.flipkart.pageObjects.FlipkartAddCartPage; Unique Link :https://www.flipkart.com/furniture/dining-tables-sets/pr?sid=wwe,ur9&otracker=undefined_footer
INFO  - 2024-01-30 16:06:23.527; com.flipkart.pageObjects.FlipkartAddCartPage; Unique Link :https://www.flipkart.com/samsung-galaxy-s24-5g-cobalt-violet-512-gb/p/itmdbe5ac49590db?otracker=undefined_footer
